ISIN,Unit of account,Category,2018,2019,2020,2021,2022,2023,2024,10 years,5 years,3 years,1 year,Volatility 5 years,Volatility 3 years,Volatility 1 year,Sharpe,Fees
BE0057451271,DPAM B - Equities Europe Dividend B EUR Cap,Actions Europe Rendement,-0.1207,0.2069,-0.166,0.2267,-0.0605,0.1102,0.0624,0.3971,0.1478,0.1153,0.1134,0.2214,0.164,0.1064,0.28,0.016
BE0058652646,DPAM B - Equities World Sustainable B Cap,Actions International Gdes Cap. Croissance,-0.0189,0.3499,0.1643,0.2639,-0.2507,0.2101,0.2057,1.5503,0.6168,0.2762,0.2342,0.1593,0.1704,0.1044,1.51,0.016
FR0000004970,Ecofi Smart Transition C,Actions Zone Euro Grandes Cap.,-0.1301,0.2442,-0.004,0.2202,-0.129,0.1818,0.1132,0.8707,0.4585,0.2517,0.1909,0.1896,0.1663,0.0905,0.83,0.02
FR0000008674,Fidelity Europe A,Actions Europe Gdes Cap. Mixte,-0.1154,0.3387,0.0129,0.1647,-0.1951,0.1058,0.017,0.4837,0.0973,-0.0239,0.0673,0.1738,0.1506,0.0754,-0.22,0.019
FR0000284689,Comgest Monde C,Actions International Gdes Cap. Croissance,0.0388,0.233,0.1157,0.1598,-0.2009,0.2184,0.1539,1.4265,0.4424,0.2523,0.1864,0.1358,0.1474,0.099,1.13,0.02
FR0000292278,Magellan C,Actions Marchés Emergents,-0.1636,0.1767,0.059,-0.1528,-0.1678,0.0317,0.0453,-0.0823,-0.2222,-0.1052,0.088,0.1536,0.1322,0.0804,0.14,0.0175
FR0000442949,Arkéa Focus - European Economy P,Actions Zone Euro Grandes Cap.,-0.282,0.2196,0.0673,0.1121,-0.1861,0.0186,0.1067,0.5336,0.111,0.0113,0.1383,0.1769,0.1661,0.0789,0.87,0.02
FR0000447609,Arkéa Focus - Human P,Actions France Grandes Cap.,-0.1528,0.2552,-0.024,0.2192,-0.1704,0.0923,-0.118,0.1693,-0.0499,-0.16,-0.0854,0.1888,0.1687,0.0939,-1.68,0.02
FR0000987950,Arkéa Indiciel Apal P,Actions Secteur Autres,-0.0928,0.1992,0.0573,0.0269,-0.088,0.0627,0.1006,0.4594,0.1258,0.061,0.1637,0.1546,0.1345,0.0924,0.69,0.014
FR0000987968,Arkéa Indiciel Japon P,Actions Japon Grandes Cap.,-0.0545,0.2328,0.1275,0.0283,-0.1598,0.1773,0.1508,1.0359,0.289,0.1746,0.08,0.1576,0.1455,0.1162,0.96,0.011
FR0000988057,Arkéa Indiciel US P,Actions Etats-Unis Gdes Cap. Mixte,-0.0047,0.3235,0.0741,0.3697,-0.1385,0.2094,0.3157,2.4846,0.9898,0.5235,0.3106,0.1628,0.1531,0.1102,2.24,0.013
FR0000988594,Federal Opportunite Modere,Allocation EUR Prudente,-0.0506,0.0587,0.0159,0.0256,-0.0958,0.0554,0.0339,0.0645,0.0275,0.0034,0.0543,0.0581,0.0576,0.0326,-0.07,0.01
FR0000994378,Arkéa Schelcher Equity Convictions P,Actions Zone Euro Grandes Cap.,-0.1627,0.2659,0.0942,0.2762,-0.2277,0.1429,0.0528,0.5756,0.3265,0.0694,0.1137,0.156,0.1576,0.0876,0.22,0.016
FR0007021563,Arkéa Focus - Artificial Intelligence P,Allocation EUR Flexible - International,-0.1054,0.1552,-0.0385,0.1333,-0.1056,0.1007,0.1163,0.4602,0.2148,0.1564,0.1555,0.1097,0.0958,0.0685,1.11,0.02
FR0007051040,Eurose C,Allocation EUR Prudente,-0.064,0.0785,-0.0426,0.0717,-0.0309,0.086,0.03,0.2202,0.1228,0.0875,0.0442,0.0764,0.0568,0.0344,-0.18,0.014
FR0007076930,Centifolia C,Actions France Grandes Cap.,-0.1719,0.1531,-0.1397,0.1935,-0.0148,0.1478,-0.0061,0.4558,0.1997,0.1306,0.0418,0.1984,0.1417,0.1317,-0.26,0.0239
FR0007387071,R-co Midcap France,Actions France Petites & Moy. Cap.,-0.3377,0.2066,0.0293,0.1744,-0.1268,0.0203,-0.0929,0.138,0.0167,-0.1414,-0.0377,0.2284,0.1788,0.1659,-0.73,0.02
FR0007394846,Arkéa Global Green Bonds P,Global Diversified Bond - EUR Hedged,0.0395,0.0629,0.0056,0.0,-0.1421,0.0531,0.0313,-0.0425,-0.081,-0.0687,0.0296,0.0617,0.07,0.0505,-0.08,0.009
FR0010077461,BNP Paribas Energie & Industrie Europe ISR Classic,Actions Secteur Energie,-0.0158,0.0853,-0.2303,0.2158,-0.1249,0.1848,0.0812,0.3816,0.1233,0.266,0.1662,0.2337,0.1595,0.0784,0.57,0.015
FR0010108662,Arkéa Select - Actions Europe P,Actions Europe Gdes Cap. Mixte,-0.1377,0.2549,0.0513,0.2018,-0.2179,0.1302,0.0594,0.5778,0.1974,0.0398,0.1251,0.1605,0.1498,0.0724,0.33,0.016
FR0010117093,Sycomore Social Impact R,Actions Zone Euro Flex Cap,-0.0815,0.1966,0.0426,0.0426,-0.2152,0.043,0.1352,0.3992,0.046,0.0179,0.1804,0.1438,0.1418,0.0869,1.09,0.02
FR0010149302,Carmignac Emergents A EUR Acc,Actions Marchés Emergents,-0.186,0.2473,0.4466,-0.1073,-0.1563,0.0951,0.0463,0.4796,0.2127,0.0235,0.1451,0.1742,0.1533,0.1213,0.13,0.015
FR0010286013,Sextant Grand Large A,Allocation EUR Modérée - International,-0.0429,0.0462,-0.0181,0.0376,-0.0532,0.092,0.0118,0.3652,0.058,0.029,0.0096,0.0722,0.0602,0.0469,-0.5,0.017
FR0010292920,Arkéa Select Equilibre P,Allocation EUR Modérée,-0.0888,0.1127,0.0108,0.0752,-0.1191,0.0715,0.0402,0.1485,0.0699,0.015,0.073,0.0877,0.08,0.0427,0.09,0.016
FR0010298596,Moneta Multi Caps C,Actions France Grandes Cap.,-0.1565,0.2502,0.0653,0.2122,-0.0825,0.0627,-0.0259,0.7963,0.2516,-0.0224,0.0175,0.1969,0.1482,0.1248,-0.44,0.015
FR0010321802,Echiquier Agressor A,Actions Europe Flex Cap,-0.2476,0.1885,-0.1568,0.1668,-0.1655,0.17,0.0473,0.0932,0.0713,0.1063,0.1072,0.198,0.1367,0.0773,0.16,0.0225
FR0010363366,Sycomore L/S Opportunities R,Alt - Long/Short Actions - Europe,-0.1019,0.0879,0.0796,0.0,-0.1699,0.0354,-0.0431,0.0047,-0.1018,-0.1221,-0.0132,0.1144,0.094,0.0898,-0.85,0.018
FR0010396382,Mandarine Equity Income R,Actions Europe Rendement,-0.0926,0.2389,-0.0673,0.1644,-0.0467,0.1682,0.0751,0.6854,0.3203,0.2076,0.1036,0.1703,0.133,0.0793,0.5,0.023
FR0010505578,EdR SICAV - Euro Sustainable Equity A EUR,Actions Zone Euro Grandes Cap.,-0.1108,0.2472,0.0411,0.1924,-0.1548,0.1749,0.0361,0.7665,0.2871,0.1169,0.0729,0.1603,0.1442,0.0835,0.03,0.0195
FR0010560037,Schelcher Euro High Yield P,Obligations EUR Haut Rendement,-0.0557,0.0681,0.0614,0.0415,-0.0836,0.1038,0.0905,0.3792,0.2126,0.1016,0.0855,0.0843,0.0637,0.0141,3.63,0.014
FR0010588343,EdR SICAV - Tricolore Convictions A EUR,Actions France Grandes Cap.,-0.1837,0.1749,-0.1002,0.2521,-0.1075,0.157,0.0392,0.4939,0.2772,0.1624,0.0973,0.1906,0.1609,0.1145,0.07,0.0195
FR0010611293,Echiquier Arty SRI A,Allocation EUR Prudente,-0.0907,0.0933,0.035,0.0553,-0.108,0.095,0.0364,0.2097,0.1075,0.0394,0.058,0.0756,0.0697,0.0286,0.0,0.015
FR0010636407,Arkéa Actions Euro P,Actions Zone Euro Grandes Cap.,-0.1444,0.2713,-0.0364,0.2388,-0.1109,0.2102,0.1135,0.7909,0.519,0.3063,0.2009,0.1834,0.157,0.0893,0.85,0.013
FR0010651224,BDL Convictions C,Actions Europe Flex Cap,-0.1505,0.2754,-0.0572,0.2159,-0.0693,0.1562,0.0105,0.8086,0.2798,0.1064,0.0652,0.2185,0.1698,0.1347,-0.13,0.02
FR0010707513,Schelcher Flexible Short Duration P,Obligations EUR Flexibles,-0.0251,0.0215,0.0354,0.0148,-0.015,0.0588,0.0634,0.2096,0.1639,0.1076,0.0636,0.0372,0.0315,0.0134,1.9,0.008
FR0010771055,Schelcher Convertible P,Convertibles Europe,-0.1014,0.0459,0.0971,-0.0365,-0.1316,0.0415,0.0416,0.0005,0.0028,-0.0194,0.0683,0.0894,0.0879,0.0448,0.12,0.014
FR0011034818,Schelcher Optimal Income P,Obligations EUR Diversifiées,-0.0485,0.0251,0.0499,0.041,-0.0088,0.0298,0.0412,0.1734,0.1613,0.0675,0.0486,0.0426,0.0316,0.0254,0.18,0.012
FR0011070358,Arkéa Multi Patrimoine P,Allocation EUR Flexible - International,-0.062,0.014,-0.0463,0.0093,0.0615,-0.0003,-0.0004,-0.0151,0.0175,0.0725,0.0009,0.0503,0.0539,0.0497,-0.72,0.02
FR0011167410,Schelcher Convertible Mid Cap P,Convertibles Europe,-0.1035,0.0633,0.1201,0.0397,-0.0844,0.0128,0.0295,0.3061,0.1235,-0.0076,0.0569,0.086,0.0768,0.0343,-0.2,0.014
FR0011170182,Ofi Invest Precious Metals R,Matières Premières - Métaux Précieux,-0.073,0.2201,0.2454,-0.1268,-0.0129,-0.0898,0.0673,0.1339,0.0574,-0.025,0.2194,0.1687,0.1564,0.1518,0.26,0.015
FR0011198332,Schelcher Short Term P,Obligations EUR Très Court Terme,-0.0055,-0.0013,0.0155,0.0013,0.0266,0.0354,0.0444,0.1239,0.1314,0.1117,0.0435,0.0106,0.0104,0.0032,2.55,0.003
FR0011261197,R-co Valor F EUR,Allocation EUR Flexible - International,-0.1347,0.2818,0.0635,0.1232,-0.0838,0.126,0.163,1.0381,0.4388,0.2284,0.2024,0.1408,0.1184,0.0699,1.69,0.018
FR0011363746,Solidarité Habitat Et Humanisme,Allocation EUR Prudente - International,-0.0417,0.0421,0.0254,0.0095,-0.0822,0.0386,0.0262,0.0142,0.0099,-0.0081,0.0349,0.0344,0.0358,0.0244,-0.42,0.0088
FR0011540558,Ouessant P,Allocation EUR Flexible - International,-0.062,0.1094,0.0404,-0.0594,-0.0968,0.0447,-0.0469,0.0354,-0.1351,-0.0633,-0.027,0.0731,0.0848,0.103,-0.77,0.021
FR0011585520,Eiffel Nova Europe ISR A,Actions Europe Petites Cap.,-0.1422,0.2659,0.1201,0.3365,-0.2615,-0.0517,-0.0935,0.7156,-0.0719,-0.2924,-0.0604,0.1942,0.1872,0.1194,-1.07,0.022
FR0012696102,SPPI Multi-Oblig R,Obligations EUR Flexibles,-0.0652,0.0472,0.0337,0.0233,-0.0576,0.055,0.0397,0.0,0.0862,0.0328,0.0366,0.0497,0.0429,0.0235,0.12,0.008
FR0013215969,Arkéa Ethi-Patrimoine P,Allocation EUR Prudente,0.0,0.0817,-0.002,0.0319,-0.1022,0.0808,0.047,0.0,0.0547,0.0294,0.0655,0.0645,0.0602,0.0295,0.34,0.013
FR0013260262,OPCI Sofidy Pierre Europe A,IMMOBILIER - DIRECT EUROPE,0.0,0.0694,0.0465,0.0577,-0.0583,-0.0118,-0.0198,0.0,0.0127,-0.077,-0.0126,0.0458,0.0496,0.0396,-1.42,0.0225
FR0013373214,Arkéa Select Mégatendances P,Actions International Flex-Cap.,0.0,0.2979,0.1266,0.251,-0.1403,0.0325,0.0721,0.0,0.3448,0.0755,0.1257,0.1423,0.1316,0.0812,0.45,0.009
FR0013440153,Arkéa Support Monétaire P,Monétaires EUR,0.0,0.0,-0.005,-0.0066,-0.0017,0.0328,0.0368,0.0,0.0585,0.0711,0.036,0.0058,0.0053,0.001,-0.34,0.005
FR0013466117,SC SOFIDY CONVICTIONS IMMO,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1098,0.0371,-0.0257,0.0,0.0,0.0,0.0,0.0
FR0013505450,Tikehau 2027 R Acc EUR,Obligations à échéance,0.0,0.0,0.0,0.0435,-0.1285,0.1137,0.0703,0.0,0.0,0.0482,0.0708,0.0,0.0794,0.0117,2.74,0.014
FR0013515970,Carmignac Credit 2025 A EUR Acc,Obligations à échéance,0.0,0.0,0.0,0.0333,-0.137,0.1016,0.0588,0.0,0.0,0.013,0.0557,0.0,0.0606,0.008,2.86,0.009
FR0014002KE1,SC NOVAXIA R PART A,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0,0.0,0.0,0.0504,0.0207,0.0,0.0,0.1071,0.0254,0.0,0.0,0.0,0.0,0.0104
FR0014006PZ6,Arkéa Mandarine Global Transition,Actions Secteur Ecologie,0.0,0.0,0.0,0.0,-0.2092,0.0565,0.1177,0.0,0.0,0.0919,0.1696,0.0,0.1689,0.0889,0.89,0.0135
FR00140081Y1,Carmignac Credit 2027 A EUR Acc,Obligations à échéance,0.0,0.0,0.0,0.0,0.0,0.1276,0.0724,0.0,0.0,0.0,0.0719,0.0,0.0,0.0102,3.43,0.009
FR0014008GK3,Arkéa DS - Protect Transition P,Fonds à Capital Protégé,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0252,0.0,0.0,0.0703,-0.41,0.0095
FR0014009XS9,SC PIERRE IMPACT,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0251,0.0,0.0,0.0,0.0,0.0158
FR001400A217,SCI TERRITOIRES AVENIR,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0564,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0316
FR001400EGA8,SCPI TRANSITION EUROPE,IMMOBILIER - DIRECT AUTRES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696,0.0,0.0,0.0,0.0,0.0119
FR001400EZY8,Schelcher Global Yield 2028 P,Obligations à échéance,0.0,0.0,0.0,0.0,0.0,0.0,0.0861,0.0,0.0,0.0,0.0847,0.0,0.0,0.0114,4.22,0.013
FR001400JJE3,Schelcher European Bank Bonds 2028 P,Obligations à échéance,0.0,0.0,0.0,0.0,0.0,0.0,0.0558,0.0,0.0,0.0,0.0589,0.0,0.0,0.018,1.02,0.0055
FR001400KAV4,Carmignac Credit 2029 A Eur Acc,Obligations à échéance,0.0,0.0,0.0,0.0,0.0,0.0,0.0797,0.0,0.0,0.0,0.0817,0.0,0.0,0.0162,2.53,0.01
FR001400NJ57,Arkéa Focus - European Economy A,Actions Zone Euro Grandes Cap.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
FR001400NLS1,Arkéa Indiciel PAB Europe ESG A,Actions Europe Gdes Cap. Mixte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
FR001400NLT9,Arkéa Indiciel PAB US ESG A,Actions Etats-Unis Gdes Cap. Mixte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
FR001400RP06,Arkéa Select - Obligations P,Obligations EUR Diversifiées,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011
FR001400UD39,MTPAC    1STN0335X,FONDS A CAPITAL PROTEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR001400UD47,TRAJ TERRIT 0225,FONDS A CAPITAL PROTEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR001400UD54,SANEC    1STN0335X,FONDS A CAPITAL PROTEGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU0048578792,Fidelity Funds - European Growth Fund A-DIST-EUR,Actions Europe Gdes Cap. Mixte,-0.0961,0.2376,-0.088,0.203,-0.1476,0.1529,0.1573,0.6435,0.2649,0.1808,0.2003,0.1609,0.1292,0.069,1.64,0.015
LU0069449576,Fidelity Funds - World Fund A-DIST-EUR,Actions International Gdes Cap. Mixte,-0.075,0.2972,0.1015,0.2306,-0.1627,0.1701,0.203,1.5544,0.5922,0.2905,0.2323,0.1527,0.1379,0.1018,1.52,0.015
LU0069450822,Fidelity Funds - America Fund A-DIST-EUR,"Actions Etats-Unis Gdes Cap. ""Value""",-0.0223,0.1315,-0.0464,0.3362,0.004,0.0797,0.1549,1.081,0.621,0.3041,0.1781,0.1595,0.1411,0.1516,0.78,0.015
LU0099574567,Fidelity Funds - Global Technology Fund A-DIST-EUR,Actions Secteur Technologies,0.0049,0.4652,0.3225,0.3152,-0.187,0.3927,0.247,5.037,1.3467,0.5288,0.2628,0.1732,0.1735,0.094,2.02,0.015
LU0104884860,Pictet-Water P EUR,Actions Secteur Eau,-0.0864,0.3449,0.0356,0.3958,-0.181,0.11,0.0971,1.273,0.4225,0.1367,0.1224,0.1666,0.1595,0.1226,0.52,0.024
LU0159052710,JPMorgan Funds - US Technology Fund A (acc) - EUR,Actions Secteur Technologies,0.087,0.4394,0.7102,0.2197,-0.4149,0.6003,0.3577,5.8491,1.5651,0.6291,0.3787,0.2672,0.2877,0.2159,1.36,0.015
LU0210526801,JPMorgan Funds - Greater China Fund A (acc) - USD,Actions Grande Chine,-0.2384,0.4271,0.5802,-0.0968,-0.2926,-0.1019,0.121,0.5271,-0.0376,-0.2896,0.2224,0.2165,0.2386,0.2273,0.73,0.015
LU0229940001,Templeton Asian Growth Fund A(acc)EUR,Actions Asie hors Japon,-0.1657,0.2459,0.1371,-0.0285,-0.1882,-0.0091,0.1866,0.0986,0.0003,-0.0678,0.216,0.162,0.1532,0.1052,1.34,0.0185
LU0267388220,Fidelity Funds - Euro Short Term Bond Fund A-Acc-EUR,Obligations EUR Diversifiées Court Terme,-0.0172,0.025,0.0176,-0.0099,-0.0619,0.0479,0.0307,0.0434,0.0174,0.0135,0.0333,0.0318,0.0383,0.0203,-0.29,0.005
LU0270904781,Pictet-Security P EUR,Actions International Flex-Cap.,-0.026,0.3374,0.1179,0.3092,-0.2937,0.1668,0.1996,1.3932,0.4384,0.1682,0.2108,0.1807,0.1883,0.1366,1.14,0.024
LU0336084032,Carmignac Pf Flexible Bond A EUR Acc,Obligations EUR Flexibles,-0.034,0.0499,0.0924,0.0001,-0.0802,0.0467,0.0542,0.1231,0.1087,0.0279,0.0614,0.0625,0.063,0.0139,1.24,0.01
LU0337577430,Fidelity Funds - Global Bond Fund A-Acc-EUR (hedged),Global Diversified Bond,-0.0081,0.055,0.0662,-0.0218,-0.1459,0.0411,0.0,-0.0339,-0.0832,-0.1014,0.0131,0.0583,0.0688,0.0455,-0.78,0.0075
LU0340553949,Pictet-Emerging Local Currency Debt HP EUR,Obligations Marchés Emergents Devise Locale,-0.1086,0.0756,0.0246,-0.0972,-0.1135,0.0747,-0.0619,-0.2324,-0.1648,-0.1058,-0.0275,0.1234,0.1183,0.1013,-0.94,0.021
LU0344046155,Candriam Equities L Europe Innovation Class C EUR Cap,Actions Europe Gdes Cap. Croissance,-0.0882,0.3066,0.1487,0.2714,-0.2372,0.0671,-0.0531,0.8189,0.1686,-0.1117,0.0265,0.1702,0.1756,0.1068,-0.8,0.016
LU0503631714,Pictet - Global Environmental Opportunities P EUR,Actions Secteur Ecologie,-0.1317,0.4037,0.225,0.2597,-0.2076,0.1495,0.0895,1.4613,0.5283,0.1724,0.1316,0.1731,0.1825,0.103,0.53,0.024
LU0503932328,Janus Henderson Horizon Pan European Mid and Large Cap Fund A2 EUR,Actions Europe Gdes Cap. Mixte,-0.1596,0.2338,0.01,0.2194,-0.0834,0.1137,0.0837,0.8553,0.3945,0.1832,0.1483,0.1641,0.1428,0.0717,0.66,0.012
LU0719899097,Exane Funds 2 Exane Equity Select Europe Fund B,Actions Europe Gdes Cap. Mixte,-0.1224,0.2739,-0.0054,0.2405,-0.15,0.1487,0.0878,0.7617,0.3448,0.1239,0.149,0.1663,0.1404,0.0634,0.79,0.018
LU0880062913,JPMorgan Funds - Global Healthcare Fund A (acc) - EUR,Actions Secteur Santé,0.075,0.237,0.1297,0.2017,-0.0371,-0.0079,0.0402,0.7703,0.329,0.1343,0.053,0.1401,0.1311,0.1211,0.08,0.015
LU0987487336,Fidelity Funds - Global Multi Asset Income Fund A-Acc-EUR (hedged),Allocation USD Modérée,-0.0496,0.0929,0.0154,0.0231,-0.1403,0.0263,0.0353,0.1026,-0.0521,-0.0686,0.0525,0.0837,0.0761,0.0442,-0.02,0.0125
LU0992632538,Edmond de Rothschild Fund - Income Europe A EUR,Allocation EUR Prudente,-0.0595,0.0711,-0.0308,0.0453,-0.0785,0.074,0.0558,0.2124,0.0546,0.0514,0.0593,0.0826,0.068,0.0318,0.59,0.013
LU1100076550,Clartan Valeurs C,Allocation EUR Flexible,-0.1282,0.2559,-0.1206,0.0956,-0.0616,0.2281,0.0731,0.7492,0.2464,0.2706,0.1375,0.1747,0.1378,0.0813,0.46,0.018
LU1160356009,Edmond de Rothschild Fund - Healthcare A EUR,Actions Secteur Santé,0.0211,0.2591,0.0201,0.2609,-0.0285,-0.0178,-0.007,0.5143,0.2002,0.0406,0.0252,0.123,0.1081,0.0978,-0.4,0.017
LU1261432659,Fidelity Funds - World Fund A-Acc-EUR,Actions International Gdes Cap. Mixte,-0.0753,0.2984,0.1016,0.2302,-0.1627,0.1702,0.2029,0.0,0.5919,0.29,0.2323,0.1527,0.138,0.1018,1.52,0.015
